Timestamp,First choice,Second choice,Third choice
3/17/2019 0:05:13,@AlanMCole,@mattyglesias,@scottlincicome
3/17/2019 0:05:15,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:05:31,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:05:47,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:05:57,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:05:57,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:06:15,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:06:22,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:06:48,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:07:20,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:07:23,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:07:30,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:08:00,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:08:51,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:08:52,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:09:04,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:09:51,@AlanMCole,@mattyglesias,@scottlincicome
3/17/2019 0:10:08,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:10:51,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:11:06,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:11:08,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:12:32,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:12:42,@scottlincicome,@AlanMCole,"@scottlincicome, @AlanMCole"
3/17/2019 0:12:43,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:13:06,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:13:42,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:13:46,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:14:08,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:14:11,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:14:18,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:14:41,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:14:49,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:15:44,@AlanMCole,@mattyglesias,@scottlincicome
3/17/2019 0:15:49,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:15:55,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:16:03,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:16:32,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:16:41,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:17:15,@scottlincicome,@AlanMCole,@mattyglesias
